SDG	Pub_doi	Pub_title	Pub_concept	SDG_short
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Undernourished People	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Wealth Quintile	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Extreme Poverty Rate	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Vulnerable Employment	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Extreme Poverty	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Lower Wealth	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Reduce Food Insecurity	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Post-2015 Development Agenda	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Hunger Target	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Underweight Child	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Asia South-Eastern	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Multiple Indicator Cluster Survey	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Food Insecurity	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Underweight Prevalence	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Severe Food Insecurity	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Asylum Seeker	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Important Staple Food	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	To-population Ratio	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Open Working Group	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Extreme Poverty Line	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	National Poverty Line	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Poverty Line	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Extreme Poverty	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Erty Line	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	End Poverty	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Poverty Number	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Sustainable Development Goal	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Relative Poverty Line	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	National Definition	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Official Poverty Line	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	SDG Target	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Bad Luck	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Post-2015 Development Agenda	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Data Revolution	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Bank Headquarter	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Global Poverty	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Global Line	SDG01
SDG01: No Poverty	10.18356_0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Health Care Access	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Sustainable Development Goal Report	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection Benefit	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection Programme	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Protection Benefit	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Asia South-Eastern	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	International Poverty Line	SDG01
